2025-05-02| 07:34:52| invoice 1001| Joe| 150.00    
2025-05-02| 07:35:09| keyboard| Amazon| -89.50    
2025-05-02| 09:36:05| Ergonomic Keyboard| Amazon| 89.50     
2025-05-02| 09:44:20| Wisely| YearUp| 100.00    
2025-05-02| 09:44:36| Earphones| Walmart| -23.99    
2025-05-02| 09:45:10| TV| Amazon| -450.00   
2025-05-02| 10:35:27| Wisely Deposit| Year Up| 100.00    
2025-05-02| 10:35:48| Bills| Electric| -50.00    
2025-07-18| 09:34:23| Work check | Wisely| 100.00    
2025-07-18| 09:34:52| Work deposit| Wisely| -150.00   
